top - 05:15:01 up 157 days, 14:27,  1 user,  load average: 0.13, 0.12, 0.05
Tasks: 207 total,   1 running, 203 sleeping,   2 stopped,   1 zombie
%Cpu(s): 14.5 us, 21.7 sy,  0.0 ni, 54.7 id,  9.0 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem:   4046732 total,  3870672 used,   176060 free,    53796 buffers
KiB Swap:  4194300 total,   981292 used,  3213008 free.   979052 cached Mem

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 1304 gitlab-+  20   0   49860   4496   1312 S   6.5  0.1   1688:29 redis-server
    1 root      20   0   33648   2320   1188 S   0.0  0.1   1:02.78 init
    2 root      20   0       0      0      0 S   0.0  0.0   0:19.66 kthreadd
    3 root      20   0       0      0      0 S   0.0  0.0   1:07.71 ksoftirqd/0
    5 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/0:0H
    7 root      20   0       0      0      0 S   0.0  0.0 178:43.10 rcu_sched
    8 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcu_bh
    9 root      rt   0       0      0      0 S   0.0  0.0   0:33.38 migration/0
   10 root      rt   0       0      0      0 S   0.0  0.0   0:44.81 watchdog/0
   11 root      rt   0       0      0      0 S   0.0  0.0   0:49.11 watchdog/1
   12 root      rt   0       0      0      0 S   0.0  0.0   0:33.36 migration/1
   13 root      20   0       0      0      0 S   0.0  0.0   1:01.64 ksoftirqd/1
   15 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/1:0H
   16 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kdevtmpfs
   17 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 netns
   18 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 perf
   19 root      20   0       0      0      0 S   0.0  0.0   0:06.58 khungtaskd
   20 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 writeback
   21 root      25   5       0      0      0 S   0.0  0.0   0:00.00 ksmd
   22 root      39  19       0      0      0 S   0.0  0.0   2:12.72 khugepaged
   23 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 crypto
   24 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kintegrityd
   25 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   26 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kblockd
   27 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ata_sff
   28 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 md
   29 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 devfreq_wq
   34 root      20   0       0      0      0 S   0.0  0.0  49433:04 kswapd0
   35 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 vmstat
   36 root      20   0       0      0      0 S   0.0  0.0   0:00.00 fsnotify_mark
   37 root      20   0       0      0      0 S   0.0  0.0   0:00.00 ecryptfs-kthrea
   53 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kthrotld
   54 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 acpi_thermal_pm
   55 root      20   0       0      0      0 S   0.0  0.0   0:00.00 vballoon
   56 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   57 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   58 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   59 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   60 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   61 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   62 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   63 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
